NOME;MARCA;EXPOSITOR;CATEGORIA;VALOR;FICHA TÉCNICA;FOTO;;;
CAIXA MULTIFUNÇÃO MB-500;ALBATROZ;ALBATROZ FISHING;ACESSÓRIOS DE PESCA;R$ 690,00;"COMPARTIMENTO COM ATÉ 3 DIVISÕES E 2 DIVISORES MODULARES; BANDEJA MÓVEL REMOVÍVEL; ALÇA ADICIONAL DE TECIDO; TRAVA DE SEGURANÇA; CLIPE DE ENCAIXE LATERAL; DISPONÍVEL EM DUAS CORES; CONSTRUÍDA EM PLÁSTICO PP. MATERIAL: POLIPROPILENO DIMENSÕES (APROXIMADAS: 29X44,5X23,5CM PESO: 2,6KG CORES AZUL E VERDE";MB-500.JPG;;;
BOLSA PLANO ATLAS TACKLE BAG;AQUABRAZIL;PLANO;ACESSÓRIOS DE PESCA;R$ 2.999,00;BOLSA PLANO COM TRÊS ESTOJOS 3750 (COMPORTA ATÉ 4), DE CONSTRUÇÃO INOVADORA EM EVA, ÁREA MAGNÉTICA (DROPZONE) PARA SEGURAR ALICATES ENTRE OUTROS ACESSÓRIOS DE METAL NO TOPO, BASE MOLDADA À PROVA D'ÁGUA, BOLSOS INTERNOS COM ZÍPER E LATERAIS MOLDADOS.;TACKLE_BAG.JPG;;;
SMART HEAD AUTOBOAT;AUTOBOAT;AUTOBOAT INDUSTRIA E COMÉRCIO DE PRODUTOS NAÚTICOS LTDA;ACESSÓRIOS DE PESCA;R$ 2.670,00;- FUNÇÃO NOVA: AUTOPOINT JOG - COMPATÍVEL COM MOTORES ELÉTRICO ATÉ 54/55LBS - MANUSEIO APENAS PELO CONTROLE REMOTO OU APLICATIVO - CONTROLE REMOTO COM ALCANCE DE 100M COM FUNÇÕES DE LIGA/DESLIGA, VELOCIDADE, DIREÇÃO, ÂNCORA, NORTE E CRUZEIRO - ROTAÇÃO 360º COM O ACOPLADOR MECÂNICO - GPS VIA SATÉLITE - REGULADOR DE PROFUNDIDADE AUTOBOAT - BLUETOOTH (COMPATIBILIDADE COM APP) - INDICADO PARA AGUA DOCE E SALGADA - VELOCIDADES: 10 FRENTE - DESIGN REVOLUCIONÁRIO - 12 VOLTS;SMART_HEAD.JPG;;;
CAIXA ESTOJO ORGANIZADORA BRK DE ISCAS ARTIFICIAIS - ATÉ 80 ISCAS;BRK;BRK FISHING;ACESSÓRIOS DE PESCA;R$ 189,90;"COM A NOSSA CAIXA ORGANIZADORA DE ISCAS ARTIFICIAIS, VOCÊ VAI ARMAZENAR ATÉ 80 ISCAS ARTIFICIAIS COM TOTAL SEGURANÇA E ORGANIZAÇÃO. MATERIAL: PLÁSTICO DE ALTA QUALIDADE, RESISTENTE A IMPACTOS E DESGASTE; CAPACIDADE: ATÉ 80 ISCAS ARTIFICIAIS; DIMENSÕES: 42 CM X 21 CM X 18 CM; SEGURANÇA: TAMPA COM FECHAMENTO SEGURO, PROTEGENDO CONTRA ELEMENTOS EXTERNOS; COMPARTIMENTOS MODULARES: POSSIBILIDADE DE AJUSTAR O TAMANHO DOS COMPARTIMENTOS PARA SE ADEQUAR A DIFERENTES TIPOS E TAMANHOS DE ISCAS;";BRK_ISCAS.JPG;;;
POWER WRAP MACHINE;CUSTOM BY MARCOS;CUSTOM BY MARCO;ACESSÓRIOS DE PESCA;R$ 3.950,00;TORNO PROFISSIONAL PARA MONTAGEM DE VARA DE PESCA. COM VELOCIDADE CONTROLADA E DISPONÍVEL MODO PARA RESINAR E ATAR PASSADORES NA MESMA MAQUINA.;POWER_WRAP.JPG;;;
EXP 002 FLOATING STYLE;EXPRESS POLARIZADO;EXPRESS POLARIZADOS;ACESSÓRIOS DE PESCA;R$ 238,00;O ÓCULOS EXP 002 FLOATING FOI CONSTRUÍDO A PARTIR DE UMA RESINA ESPECIALMENTE FORMULADA E MOLDADA POR INJEÇÃO COM UMA DENSIDADE MENOR QUE A DA ÁGUA, PERMITINDO QUE FLUTUEM. TIPO DE LENTE: POLARIZADA ESPESSURA: 1.1MM PROTEÇÃO DA LENTE: 100% DE PROTEÇÃO CONTRA RAIOS UVA / UVB ACOMPANHA: BOX, ESTOJO EM COURO SINTÉTICO, BAG DE MICROFIBRA E CERTIFICADO DE GE;EXP_OO2.JPG;;;
OCULOS STEALTH;GRUPO WAKOKU / FLÓRIDA MARINE;ZEQUE;ACESSÓRIOS DE PESCA;R$ 2.800,00;O MELHOR POLARIZADO DO MUNDO! A ZEQUE É UMA DAS MARCAS MAIS RENOMADAS DO JAPÃO QUANDO O ASSUNTO SÃO ÓCULOS POLARIZADOS. A MARCA PROCURA DESENVOLVER SEUS PRODUTOS COM OS PRINCIPAIS PESCADORES PROFISSIONAIS UTILIZANDO AS MAIS RECENTES TECNOLOGIAS. POR QUE PROPORCIONAM CAMPO DE VISÃO CLARO E UM DESIGN ESPECIAL. CADA PEÇA É METICULOSAMENTE MONTADA, CADA DETALHE NO DESENHO TEM UM SIGNIFICADO FUNCIONAL, COMBINANDO COM LEVEZA.;OCULOS_STEALTH.JPG;;;
SHOUT POWERFUL ASSIST 25PA;GRUPO WAKOKU / FLÓRIDA MARINE;SHOUT;ACESSÓRIOS DE PESCA;R$ 134,00;"O ASSIST HOOK MAIS FORTE DO MERCADO! ESTE ASSIST HOOK É IDEAL PARA PESCARIA DE GRANDE EXEMPLARES COM METAL JIG. ELE É FEITO COM DOIS ANZOIS, SOLID RING, PERNADAS CURTAS E TRANÇADAS FEITAS COM LINHA PE EXTREMAMENTE FORTE. UMA DAS VANTAGENS DESTE ACESSÓRIO É PROPORCIONAR UMA FISGADA MELHOR E UMA CONEXÃO MAIS FORTE ENTRE A ISCA E O PEIXE. ESTA MONTAGEM FACILITA A LIBERAÇÃO DOS PEIXES, EVITA ESTRAGAR A ISCA (ARRANHA MENOS). VALE RESSALTAR QUE SÃO USADOS OS FAMOSOS ANZOIS KUDAKO, QUE POSSUEM FORMATO SIMILAR AO LIVE BAIT. O OLHO É LEVEMENTE VOLTADO PARA CIMA, GARANTINDO UM MELHOR ÂNGULO E ABERTURA PARA FISGADA; PONTA MAIS ALONGADA; FARPA PEQUENA, MAS DE TAMANHO PERFEITO PARA EVITAR QUE O PEIXE ESCAPE; ALÉM DE SER EXTREMAMENTE REFORÇADO, NÃO PERDER A AFIAÇÃO E NEM OXIDAR.";SHOUT.JPG;;;
TACKLE POUCH;GRUPO WAKOKU / FLÓRIDA MARINE;JACKALL;ACESSÓRIOS DE PESCA;R$ 330,00;MAIOR PRATICIDADE PARA LEVAR SUA TRALHA! ESTA É UMA BOLSA BASTANTE PRATICA PARA LEVAR PACOTES DE ISCAS SOFTS, ACESSÓRIOS COMO ALICATES, ENTRE OUTROS. UMM DOS DESTAQUES É SER FEITO COM MATERIAL À PROVA D´ÁGUA (NÃO TEM ZÍPER SELADO).;TACKLE_POUCH.JPG;;;
ANZOL WRM959 WIDE GAP OFFSET HEAVY DUTY HOOK;GRUPO WAKOKU / FLÓRIDA MARINE;HAYABUSA;ACESSÓRIOS DE PESCA;R$ 48,00;ANZOL REFORÇADO PARA TIRAR O PREDADOR DO MEIO DA ESTRUTURA! OS ANZOIS DA CATEGORIA EWG (SIGLA PARA EXTRA WIDE GAP, ALGO COMO ABERTURA EXTRA LARGA) SÃO CARACTERIZADOS POR UMA HASTE CURVA, CRIANDO UM ESPAÇO MAIOR ENTRE ELA E A PONTA. POR CAUSA DESSE FORMATO, É INDICADO PARA AS ARTIFICIAIS VOLUMOSAS COMO AS CRIATURAS, SHADS E CRAWS PORQUE NA HORA DA FISGADA, A ISCA DESLIZA PELA HASTE, DEIXANDO UM VÃO MAIOR PARA A PONTA DO ANZOL FICAR EXPOSTA E LIVRE PARA PENETRAR A BOCA DO PEIXE. O DIFERENCIAL DO WRM959 É TER UMA CURVA BEM AMPLA E UTILIZAR UM ARAME DE DIÂMETRO MAIS GROSSO, IDEAL PARA TIRAR O PREDADOR DE DENTRO DAS ESTRUTURAS, SEM O RISCO DE ABRIR. ELE AINDA É FEITO COM AÇO CARBONO DE ALTA QUALIDADE E RECEBE O TRATAMENTO NRB (NON REFLECTIVE BLACK) FLUORINE COATING - ACABAMENTO QUE DEIXA A SUPERFÍCIE DO ANZOL MAIS LISA E MELHORA EM ATÉ 20% A EFICIÊNCIA DAS SUAS FISGADAS. ESSE REVESTIMENTO TAMBÉM DEIXA APRESENTAÇÃO DO ANZOL MAIS NATURAL, QUASE CAMUFLADA, POR CAUSA DA COR CINZA FOSCA.;WRM959.JPG;;;
